measure_name,year,value
title_count,2005,15720
title_count,2006,15867
title_count,2007,17987
title_count,2008,24040
title_count,2009,22491
title_count,2010,22557
title_count,2011,22826
title_count,2012,26036
title_count,2013,26323
title_count,2014,22044
title_count,2015,19958
title_count,2016,21330
title_count,2017,22047
title_count,2018,22612
title_count,2019,24416
title_count,2020,18967
title_count,2021,21095
title_count,2022,9691
title_count,2023,15187
title_count,2024,14500
copies_count_k,2005,54059.8
copies_count_k,2006,54209.6
copies_count_k,2007,56111.7
copies_count_k,2008,58158.1
copies_count_k,2009,48514.4
copies_count_k,2010,45058.3
copies_count_k,2011,46565.7
copies_count_k,2012,62120.5
copies_count_k,2013,69575.7
copies_count_k,2014,55312
copies_count_k,2015,36409.8
copies_count_k,2016,48978.1
copies_count_k,2017,45127.2
copies_count_k,2018,47022.1
copies_count_k,2019,61250.6
copies_count_k,2020,41946.7
copies_count_k,2021,44753.6
copies_count_k,2022,11704.2
copies_count_k,2023,24664
copies_count_k,2024,34017.2
